phrase,phrasekey,is_acronym
uf club,uc,0
bruno manetti,bm,0
danny daze,dd,0
el exclusivelane,ee,0
marvel spiderman,ms,0
my sweet angel,msa,0
off limits,ol,0
sakhi jaipur,sj,0
vs fashion,vf,0
enskons seamless,es,0
fab bucket,fb,0
frozen 2,f2,0
hunny bunny,hb,0
la firangi,lf,0
night addict,na,0
rider republic,rr,0
color me mine,cmm,0
free authority,fa,0
habere india,hi,0
the brat army,tba,0
true moda,tm,0
612 league,612l,1
buckle up,bu,0
modern crew,mc,0
18 fire,18f,1
431-88 by shweta kapur,bsk,0
agil athletica,aa,0
h ii h,hih,0
kanvas katha,kk,0
le espresso,le,0
antar agni clothing,aac,0
bleu velvet,bv,0
jaipur vastra,jv,0
jewels guru,jg,0
lee cooper kids,lck,0
point zero,pz,0
siendo desi,sd,0
commander shoes,cs,0
desi womaniya,dw,0
gulaab jaipur,gj,0
mamma presto,mp,0
picco massimo,pm,0
the kaftan company,tkc,0
aero bluez,ab,0
desi beats,db,0
first clap,fc,0
four seasons,fs,0
paul smith,ps,0
river of design,rod,0
silk bazar,sb,0
cold fusion,cf,0
mountain colours,mc,0
queen be,qb,0
samsara couture,sc,0
srijagdamba pearls dealer,spd,0
thread muster,tm,0
banarasi shop,bs,0
being fab,bf,0
bottega veneta,bv,0
local dhaaga,ld,0
pure luxuries london,pll,0
the flybees,tf,0
united 18,u18,0
c9 airwear,ca,0
culture carousel,cc,0
dolce crudo,dc,0
ethnic street,es,0
rosso fem,rf,0
shri chamundeshwari,sc,0
shuz touch,st,0
y can f,ycf,0
big banana,bb,0
denizen from levis,dfl,0
divine aroma,da,0
fine art publications,fap,0
jeanne arthes,ja,0
london bridge,lb,0
todd n teen,tnt,1
todd n teen,t&t,1
diesel kids,dk,0
olive mist,om,0
passion petals,pp,0
pranay baidya,pb,0
the tie hub,tth,0
alvaro castagnino,ac,0
noble curve,nc,0
secret wish,sw,0
tiny girl,tg,0
cardinal games,cg,0
madrasi checks,mc,0
onitsuka tiger,ot,0
sleek italia,si,0
the vanca,tv,0
tina eapen collective,tec,0
all ways you,awy,0
fancy fluff,ff,0
fill cryppies,fc,0
pampy angel,pa,0
purple water,pw,0
scarlet creations,sc,0
six yards plus,syp,0
soul space,ss,0
viral girl,vg,0
ajio blue,ab,0
chhabra 555,c555,1
colvynharris jeans,cj,0
diva walk exclusive,dwe,0
fioni night,fn,0
melange by lifestyle,mbl,0
spice art,sa,0
akkriti by pantaloons,abp,0
elite icloth,ei,0
home sizzler,hs,0
zizo by namrata bajaj,zbnb,0
indian flower,if,0
mtv roadies,mr,0
shangrila sarees,ss,0
slice of bengal,sob,0
true blue,tb,0
urban ranger by pantaloons,urbp,1
urban ranger by pantaloons,urp,1
alk beton,ab,0
black snow,bs,0
flat n heels,f&h,1
flat n heels,fnh,1
leather world,lw,0
newrie london,nl,0
isha trade,it,0
